2025-11-24 17:14:31 | alexey_kozak | Q: Привет | A: Привет-привет! | Tag: greeting | Prob: 1.00 | Type: high_conf
2025-11-24 18:53:08 | alexey_kozak | Q: Сколько стоит билет на Луну? | A: Извините, я пока не знаю ответа на этот вопрос. Сохраню его для обучения. | Tag: unknown | Prob: 1.00 | Type: high_conf
2025-11-24 18:53:15 | alexey_kozak | Q: Как сделать японский сад дома? | A: На Фукуоке удобно арендовать скутер или такси для передвижения по острову. | Tag: transport_info | Prob: 0.89 | Type: high_conf
2025-11-24 18:53:25 | alexey_kozak | Q: Почему на Пхукете пляж песчаный? | A: Извините, я пока не знаю ответа на этот вопрос. Сохраню его для обучения. | Tag: activities | Prob: 0.19 | Type: unknown
2025-11-24 19:12:26 | alexey_kozak | Q: Есть ли хорошие рестораны на Фукуоке? | A: На Фукуоке популярна свежая рыба и уличная еда в Дуонг Донг. | Tag: restaurants | Prob: 0.95 | Type: high_conf
2025-11-24 19:12:32 | alexey_kozak | Q: На Фукуоке удобно арендовать скутер или такси? | A: Пожалуйста, уточните ваш запрос. | Tag: unknown | Prob: 0.62 | Type: clarification
2025-11-24 19:12:38 | alexey_kozak | Q: На Бали можно арендовать мотоцикл, автомобиль или использовать экскурсионные туры? | A: Можете уточнить, что именно вас интересует? | Tag: unknown | Prob: 0.73 | Type: clarification
2025-11-24 19:12:46 | alexey_kozak | Q: Какие сувениры лучше брать в Сингапуре? | A: Пока не знаю точного ответа, но обязательно изучу этот вопрос. | Tag: transport_info | Prob: 0.26 | Type: unknown
2025-11-24 19:12:52 | alexey_kozak | Q: Какие музеи стоит посетить в Токио? | A: Пожалуйста, уточните ваш запрос. | Tag: hotel_info | Prob: 0.36 | Type: clarification
2025-11-24 19:13:03 | alexey_kozak | Q: Можно ли заказать экскурсию онлайн? | A: Извините, я пока не знаю ответа на этот вопрос. Сохраню его для обучения. | Tag: unknown | Prob: 1.00 | Type: high_conf
2025-11-24 19:13:10 | alexey_kozak | Q: Как сделать японский сад дома? | A: Пожалуйста, уточните ваш запрос. | Tag: transport_info | Prob: 0.74 | Type: clarification
2025-11-24 19:13:18 | alexey_kozak | Q: Сколько стоит билет на Луну? | A: Извините, я пока не знаю ответа на этот вопрос. Сохраню его для обучения. | Tag: unknown | Prob: 1.00 | Type: high_conf
2025-11-24 19:13:27 | alexey_kozak | Q: Могу ли я привезти слона в Сингапур? | A: Пока не знаю точного ответа, но обязательно изучу этот вопрос. | Tag: unknown | Prob: 1.00 | Type: high_conf
2025-11-24 19:13:32 | alexey_kozak | Q: Почему на Пхукете пляж песчаный? | A: Пока не знаю точного ответа, но обязательно изучу этот вопрос. | Tag: unknown | Prob: 1.00 | Type: high_conf
2025-11-24 19:14:08 | alexey_kozak | Q: Как приготовить тайский кофе со льдом? | A: Пожалуйста, уточните ваш запрос. | Tag: transport_info | Prob: 0.74 | Type: clarification
2025-11-24 19:15:18 | alexey_kozak | Q: Какие рестораны популярны на Фукуоке? | A: На Фукуоке популярна свежая рыба и уличная еда в Дуонг Донг. | Tag: restaurants | Prob: 0.99 | Type: high_conf
2025-11-24 19:15:27 | alexey_kozak | Q: Как добраться до Бали на такси или арендованном автомобиле? | A: На Бали можно арендовать мотоцикл, автомобиль или использовать экскурсионные туры. | Tag: transport_info | Prob: 0.99 | Type: high_conf
2025-11-24 19:15:38 | alexey_kozak | Q: Где найти свежую рыбу в Дуонг Донг? | A: Можете уточнить, что именно вас интересует? | Tag: hotel_info | Prob: 0.54 | Type: clarification
2025-11-24 19:15:49 | alexey_kozak | Q: На Фукуоке удобно арендовать скутер или такси? | A: Пожалуйста, уточните ваш запрос. | Tag: unknown | Prob: 0.62 | Type: clarification
2025-11-24 19:15:56 | alexey_kozak | Q: Где можно найти экскурсии для детей? | A: Можете уточнить, что именно вас интересует? | Tag: activities | Prob: 0.66 | Type: clarification
2025-11-24 19:16:04 | alexey_kozak | Q: Что будет, если смешать все специи мира? | A: Пожалуйста, уточните ваш запрос. | Tag: attractions | Prob: 0.47 | Type: clarification
2025-11-24 19:16:10 | alexey_kozak | Q: Как построить телепорт? | A: Можете уточнить, что именно вас интересует? | Tag: transport_info | Prob: 0.74 | Type: clarification
2025-11-24 19:16:17 | alexey_kozak | Q: Почему на Пхукете пляж песчаный? | A: Извините, я пока не знаю ответа на этот вопрос. Сохраню его для обучения. | Tag: unknown | Prob: 1.00 | Type: high_conf
2025-11-24 19:34:20 | alexey_kozak | Q: Привет | A: Привет-привет! | Tag: greeting | Prob: 1.00 | Type: high_conf
2025-11-24 19:34:45 | alexey_kozak | Q: Сколько стоит билет на Луну? | A: Пока не знаю точного ответа, но обязательно изучу этот вопрос. | Tag: unknown | Prob: 1.00 | Type: high_conf
2025-11-24 19:34:52 | alexey_kozak | Q: Могу ли я привезти слона в Сингапур? | A: Извините, я пока не знаю ответа на этот вопрос. Сохраню его для обучения. | Tag: unknown | Prob: 1.00 | Type: high_conf
2025-11-24 19:35:00 | alexey_kozak | Q: Почему на Пхукете пляж песчаный? | A: Извините, я пока не знаю ответа на этот вопрос. Сохраню его для обучения. | Tag: unknown | Prob: 1.00 | Type: high_conf
2025-11-24 19:35:07 | alexey_kozak | Q: Как построить телепорт? | A: Пожалуйста, уточните ваш запрос. | Tag: transport_info | Prob: 0.74 | Type: clarification
2025-11-24 19:35:14 | alexey_kozak | Q: Что будет, если смешать все специи мира? | A: Пожалуйста, уточните ваш запрос. | Tag: attractions | Prob: 0.47 | Type: clarification
2025-11-24 19:35:20 | alexey_kozak | Q: Сколько стоит билет на Луну? | A: Пока не знаю точного ответа, но обязательно изучу этот вопрос. | Tag: unknown | Prob: 1.00 | Type: high_conf
2025-11-24 19:35:27 | alexey_kozak | Q: Можно ли арендовать скутер в Сеуле? | A: Извините, я пока не знаю ответа на этот вопрос. Сохраню его для обучения. | Tag: unknown | Prob: 1.00 | Type: high_conf
2025-11-24 19:35:33 | alexey_kozak | Q: На Фукуоке удобно арендовать скутер или такси? | A: Можете уточнить, что именно вас интересует? | Tag: unknown | Prob: 0.62 | Type: clarification
2025-11-24 19:35:38 | alexey_kozak | Q: Как приготовить тайский кофе со льдом? | A: Пожалуйста, уточните ваш запрос. | Tag: transport_info | Prob: 0.74 | Type: clarification
2025-11-24 19:35:44 | alexey_kozak | Q: Как сделать японский сад дома? | A: Пожалуйста, уточните ваш запрос. | Tag: transport_info | Prob: 0.74 | Type: clarification
2025-11-24 19:35:49 | alexey_kozak | Q: Где можно найти экскурсии для детей? | A: Пожалуйста, уточните ваш запрос. | Tag: activities | Prob: 0.66 | Type: clarification
2025-11-24 19:35:55 | alexey_kozak | Q: Какие рестораны популярны на Фукуоке? | A: На Фукуоке популярна свежая рыба и уличная еда в Дуонг Донг. | Tag: restaurants | Prob: 0.99 | Type: high_conf
2025-11-24 19:36:01 | alexey_kozak | Q: Как добраться до Бали на такси или арендованном автомобиле? | A: На Бали можно арендовать мотоцикл, автомобиль или использовать экскурсионные туры. | Tag: transport_info | Prob: 0.99 | Type: high_conf
2025-11-24 19:36:06 | alexey_kozak | Q: Какие сувениры привезти из Сингапура? | A: Можете уточнить, что именно вас интересует? | Tag: shopping | Prob: 0.36 | Type: clarification
2025-11-24 19:36:11 | alexey_kozak | Q: Где найти свежую рыбу в Дуонг Донг? | A: Можете уточнить, что именно вас интересует? | Tag: hotel_info | Prob: 0.54 | Type: clarification
2025-11-24 19:36:19 | alexey_kozak | Q: Какие музеи открыты в Токио? | A: Можете уточнить, что именно вас интересует? | Tag: hotel_info | Prob: 0.42 | Type: clarification
2025-11-24 19:42:24 | alexey_kozak | Q: Как подготовиться к поездке? | A: Берите удобную обувь и легкую одежду. | Tag: travel_tips | Prob: 1.00 | Type: high_conf
2025-11-24 19:42:32 | alexey_kozak | Q: Как сэкономить в путешествии? | A: Используйте общественный транспорт, чтобы экономить деньги. | Tag: travel_tips | Prob: 1.00 | Type: high_conf
2025-11-24 19:42:43 | alexey_kozak | Q: Советы туристу? | A: Используйте общественный транспорт, чтобы экономить деньги. | Tag: travel_tips | Prob: 1.00 | Type: high_conf
2025-11-24 19:43:58 | alexey_kozak | Q: Документы для поездки на Бали | A: Для большинства стран Азии нужна туристическая виза, уточните конкретное направление, и я подскажу. | Tag: visa_info | Prob: 1.00 | Type: high_conf
2025-11-24 19:44:11 | alexey_kozak | Q: Нужна ли виза в Таиланд? | A: Для большинства стран Азии нужна туристическая виза, уточните конкретное направление, и я подскажу. | Tag: visa_info | Prob: 1.00 | Type: high_conf
2025-11-24 19:44:21 | alexey_kozak | Q: Какая погода на Пхукете? | A: На Пхукете сухой сезон с ноября по апрель. | Tag: weather_info | Prob: 1.00 | Type: high_conf
2025-11-24 19:44:32 | alexey_kozak | Q: Фукуок чем заняться | A: На Фукуоке можно заняться снорклингом и посетить местные плантации перца. | Tag: activities | Prob: 1.00 | Type: high_conf
2025-11-24 19:44:42 | alexey_kozak | Q: Клубы в Сеуле | A: В Сеуле ночные клубы в районе Gangnam и Itaewon. | Tag: nightlife | Prob: 1.00 | Type: high_conf
2025-11-24 19:44:57 | alexey_kozak | Q: метро в Сеуле | A: В Сеуле метро покрывает все ключевые районы. | Tag: transport_info | Prob: 0.99 | Type: high_conf
2025-11-24 19:45:16 | alexey_kozak | Q: Что интересного на Пхукете? | A: На Пхукете советую пляжи Патонг и Старый город Пхукета. | Tag: attractions | Prob: 1.00 | Type: high_conf
2025-11-24 20:16:37 | alexey_kozak | Q: Доброго дня | A: Пожалуйста, уточните ваш запрос. | Tag: greeting | Prob: 0.63 | Type: clarification
2025-11-24 20:16:42 | alexey_kozak | Q: Привет | A: Привет-привет! | Tag: greeting | Prob: 1.00 | Type: high_conf
2025-11-24 20:16:52 | alexey_kozak | Q: Где покушать что-то местное? | A: Пока не знаю точного ответа, но обязательно изучу этот вопрос. | Tag: hotel_info | Prob: 0.27 | Type: unknown
2025-11-24 20:17:04 | alexey_kozak | Q: Что можно поделать на острове? | A: Пожалуйста, уточните ваш запрос. | Tag: attractions | Prob: 0.48 | Type: clarification
2025-11-24 20:17:29 | alexey_kozak | Q: А что у вас по Азии вообще? | A: Извините, я пока не знаю ответа на этот вопрос. Сохраню его для обучения. | Tag: attractions | Prob: 0.26 | Type: unknown
2025-11-24 20:17:41 | alexey_kozak | Q: Зачем птицы летают? | A: Пока не знаю точного ответа, но обязательно изучу этот вопрос. | Tag: greeting | Prob: 0.19 | Type: unknown
2025-11-24 20:18:00 | alexey_kozak | Q: Можно ли скрестить манго и банан? | A: Пожалуйста, уточните ваш запрос. | Tag: unknown | Prob: 0.38 | Type: clarification
2025-11-24 20:18:07 | alexey_kozak | Q: Как построить телепорт? | A: Можете уточнить, что именно вас интересует? | Tag: transport_info | Prob: 0.74 | Type: clarification
2025-11-24 20:18:29 | alexey_kozak | Q: Лучшие магазины на Бали? | A: На Бали популярны рынки Убуда и магазины в Семиньяке. | Tag: shopping | Prob: 1.00 | Type: high_conf
2025-11-24 20:18:49 | alexey_kozak | Q: Как приготовить тайский кофе со льдом? | A: Пожалуйста, уточните ваш запрос. | Tag: transport_info | Prob: 0.74 | Type: clarification
2025-11-24 20:18:58 | alexey_kozak | Q: Сколько стоит билет на Луну? | A: Извините, я пока не знаю ответа на этот вопрос. Сохраню его для обучения. | Tag: unknown | Prob: 1.00 | Type: high_conf
2025-11-24 20:19:09 | alexey_kozak | Q: Как сделать японский сад дома? | A: Можете уточнить, что именно вас интересует? | Tag: transport_info | Prob: 0.74 | Type: clarification
2025-11-25 16:44:22 | alexey_kozak | Q: Привет | A: Привет-привет! | Tag: greeting | Prob: 1.00 | Type: high_conf
2025-11-25 16:44:44 | alexey_kozak | Q: Какие рестораны популярны на Фукуоке? | A: На Пхукете попробуйте морепродукты на пляже Патонг. | Tag: restaurants | Prob: 0.99 | Type: high_conf
2025-11-25 16:44:51 | alexey_kozak | Q: Какие рестораны популярны на Бали? | A: В Сеуле попробуйте корейское барбекю и Bibimbap. | Tag: restaurants | Prob: 0.96 | Type: high_conf
2025-11-25 16:45:10 | alexey_kozak | Q: Как добраться до Бали на такси или арендованном автомобиле? | A: На Пхукете лучше арендовать скутер или использовать такси/групповые туры. | Tag: transport_info | Prob: 0.99 | Type: high_conf
2025-11-25 16:45:22 | alexey_kozak | Q: Где найти экскурсии для детей на Пхукете? | A: На Бали рекомендованы серфинг, йога-ретриты и экскурсии по храмам. | Tag: activities | Prob: 0.87 | Type: high_conf
2025-11-25 16:45:34 | alexey_kozak | Q: Какие музеи открыты в Токио? | A: Пожалуйста, уточните ваш запрос. | Tag: hotel_info | Prob: 0.42 | Type: clarification
2025-11-25 16:45:44 | alexey_kozak | Q: Мне нужен транспорт на Бали | A: В Бангкоке удобно пользоваться BTS Skytrain и такси. | Tag: transport_info | Prob: 0.99 | Type: high_conf
2025-11-25 16:45:54 | alexey_kozak | Q: Какие сувениры выбрать? | A: Пока не знаю точного ответа, но обязательно изучу этот вопрос. | Tag: shopping | Prob: 0.23 | Type: unknown
2025-11-25 16:46:03 | alexey_kozak | Q: Как лучше провести день в Сингапуре? | A: Пожалуйста, уточните ваш запрос. | Tag: transport_info | Prob: 0.43 | Type: clarification
2025-11-25 16:46:12 | alexey_kozak | Q: Где поесть? | A: В Сингапуре обязательно попробуйте Laksa и Hainanese Chicken Rice. | Tag: restaurants | Prob: 0.99 | Type: high_conf
2025-11-25 16:46:31 | alexey_kozak | Q: Работаете ли вы по выходным? | A: Извините, я пока не знаю ответа на этот вопрос. Сохраню его для обучения. | Tag: activities | Prob: 0.18 | Type: unknown
2025-11-25 16:46:44 | alexey_kozak | Q: Я бы хотел прийти, но не знаю когда лучше | A: Пожалуйста, уточните ваш запрос. | Tag: weather_info | Prob: 0.55 | Type: clarification
2025-11-25 17:04:07 | alexey_kozak | Q: Привет | A: Здравствуйте! Куда планируете поехать? | Tag: greeting | Prob: 1.00 | Type: high_conf
2025-11-25 17:04:16 | alexey_kozak | Q: Где поесть на Пхукете? | A: На Пхукете попробуйте морепродукты на пляже Патонг. | Tag: restaurants | Prob: 1.00 | Type: high_conf
2025-11-25 17:04:25 | alexey_kozak | Q: Какие сувениры купить на Фукуоке? | A: На Фукуоке можно купить сувениры в ночном рынке Dinh Cau. | Tag: shopping | Prob: 0.95 | Type: high_conf
2025-11-25 17:04:35 | alexey_kozak | Q: Как добраться до Бали на такси? | A: На Бали можно арендовать мотоцикл, автомобиль или использовать экскурсионные туры. | Tag: transport_info | Prob: 0.99 | Type: high_conf
2025-11-25 17:04:42 | alexey_kozak | Q: Где остановиться в Токио? | A: В Токио популярны отели в районе Shinjuku и Shibuya. | Tag: hotel_info | Prob: 1.00 | Type: high_conf
2025-11-25 17:04:51 | alexey_kozak | Q: Что посмотреть на Бали? | A: На Бали стоит посетить рисовые террасы Тегаллаланг и храм Улувату. | Tag: attractions | Prob: 0.99 | Type: high_conf
2025-11-25 17:05:05 | alexey_kozak | Q: Какая погода на Пхукете? | A: На Пхукете сухой сезон с ноября по апрель. | Tag: weather_info | Prob: 1.00 | Type: high_conf
2025-11-25 17:05:17 | alexey_kozak | Q: Мне нужен транспорт | A: На Пхукете лучше арендовать скутер или использовать такси/групповые туры. | Tag: transport_info | Prob: 1.00 | Type: high_conf
2025-11-25 17:05:34 | alexey_kozak | Q: Какие экскурсии есть для детей? | A: На Пхукете популярны морские экскурсии и сафари в джунгли. | Tag: activities | Prob: 0.91 | Type: high_conf
2025-11-25 17:05:46 | alexey_kozak | Q: Как лучше провести день в Сингапуре? | A: Можете уточнить, что именно вас интересует? | Tag: transport_info | Prob: 0.43 | Type: clarification
2025-11-25 17:05:57 | alexey_kozak | Q: Можно ли арендовать скутер? | A: Извините, я пока не знаю ответа на этот вопрос. Сохраню его для обучения. | Tag: unknown | Prob: 0.99 | Type: high_conf
2025-11-25 17:06:07 | alexey_kozak | Q: Где купить сувениры? | A: На Фукуоке можно купить сувениры в ночном рынке Dinh Cau. | Tag: shopping | Prob: 1.00 | Type: high_conf
2025-11-25 17:06:21 | alexey_kozak | Q: Сколько стоит билет на Луну? | A: Пока не знаю точного ответа, но обязательно изучу этот вопрос. | Tag: unknown | Prob: 1.00 | Type: high_conf
2025-11-25 17:06:31 | alexey_kozak | Q: Могу ли я привезти слона в Сингапур? | A: Извините, я пока не знаю ответа на этот вопрос. Сохраню его для обучения. | Tag: unknown | Prob: 1.00 | Type: high_conf
2025-11-25 17:06:40 | alexey_kozak | Q: Почему на Пхукете пляж песчаный? | A: Извините, я пока не знаю ответа на этот вопрос. Сохраню его для обучения. | Tag: unknown | Prob: 1.00 | Type: high_conf
2025-11-25 17:06:47 | alexey_kozak | Q: А что у вас по Азии вообще? | A: Извините, я пока не знаю ответа на этот вопрос. Сохраню его для обучения. | Tag: attractions | Prob: 0.26 | Type: unknown
2025-11-25 17:06:57 | alexey_kozak | Q: Зачем птицы летают? | A: Извините, я пока не знаю ответа на этот вопрос. Сохраню его для обучения. | Tag: greeting | Prob: 0.19 | Type: unknown
2025-11-25 17:22:09 | alexey_kozak | Q: Привет! | A: Привет! Можете уточнить, куда хотите поехать? | Tag: greeting | Prob: 1.00 | Type: high_conf
2025-11-25 17:22:17 | alexey_kozak | Q: Где поесть на Пхукете? | A: На Пхукете попробуйте морепродукты на пляже Патонг. | Tag: restaurants | Prob: 1.00 | Type: high_conf
2025-11-25 17:22:25 | alexey_kozak | Q: Что посмотреть на Бали? | A: На Бали стоит посетить рисовые террасы Тегаллаланг и храм Улувату. | Tag: attractions | Prob: 0.99 | Type: high_conf
2025-11-25 17:22:34 | alexey_kozak | Q: Где остановиться в Токио? | A: В Токио популярны отели в районе Shinjuku и Shibuya. | Tag: hotel_info | Prob: 1.00 | Type: high_conf
2025-11-25 17:22:42 | alexey_kozak | Q: Как передвигаться по Сингапуру? | A: В Сингапуре эффективно метро MRT и автобусы. | Tag: transport_info | Prob: 1.00 | Type: high_conf
2025-11-25 17:22:55 | alexey_kozak | Q: Какая погода на Фукуоке? | A: Во Вьетнаме сезон дождей с мая по октябрь, Фукуок лучше посещать с ноября по март. | Tag: weather_info | Prob: 1.00 | Type: high_conf
2025-11-25 17:23:04 | alexey_kozak | Q: Где купить сувениры на Фукуоке? | A: На Фукуоке можно купить сувениры в ночном рынке Dinh Cau. | Tag: shopping | Prob: 1.00 | Type: high_conf
2025-11-25 17:23:14 | alexey_kozak | Q: Где поесть? | A: Извините, я пока не знаю ответа на этот вопрос. Сохраню его для обучения. | Tag: restaurants | Prob: 0.99 | Type: unknown
2025-11-25 17:23:23 | alexey_kozak | Q: Что посмотреть? | A: Уточните город, чтобы я мог подсказать достопримечательности. | Tag: attractions | Prob: 1.00 | Type: high_conf
2025-11-25 17:23:29 | alexey_kozak | Q: Бали | A: Можете уточнить, что именно вас интересует? | Tag: hotel_info | Prob: 0.15 | Type: clarification
2025-11-25 17:23:37 | alexey_kozak | Q: Что посмотреть | A: Извините, я пока не знаю ответа на этот вопрос. Сохраню его для обучения. | Tag: attractions | Prob: 0.99 | Type: unknown
2025-11-25 17:23:48 | alexey_kozak | Q: Где остановиться? | A: Извините, я пока не знаю ответа на этот вопрос. Сохраню его для обучения. | Tag: hotel_info | Prob: 0.99 | Type: unknown
2025-11-25 17:23:56 | alexey_kozak | Q: Как добраться? | A: Уточните город, чтобы я мог подсказать транспортные варианты. | Tag: transport_info | Prob: 1.00 | Type: high_conf
2025-11-25 17:23:59 | alexey_kozak | Q: Бали | A: Можете уточнить, что именно вас интересует? | Tag: hotel_info | Prob: 0.15 | Type: clarification
2025-11-25 17:24:09 | alexey_kozak | Q: Мне нужен транспорт | A: Извините, я пока не знаю ответа на этот вопрос. Сохраню его для обучения. | Tag: transport_info | Prob: 1.00 | Type: unknown
2025-11-25 17:24:17 | alexey_kozak | Q: Что интересного делать? | A: Извините, я пока не знаю ответа на этот вопрос. Сохраню его для обучения. | Tag: activities | Prob: 0.89 | Type: unknown
2025-11-25 17:24:25 | alexey_kozak | Q: Расскажи про экскурсии | A: Извините, я пока не знаю ответа на этот вопрос. Сохраню его для обучения. | Tag: activities | Prob: 0.99 | Type: unknown
2025-11-25 17:24:34 | alexey_kozak | Q: Как провести день? | A: Можете уточнить, что именно вас интересует? | Tag: transport_info | Prob: 0.47 | Type: clarification
2025-11-25 17:24:50 | alexey_kozak | Q: Как взлететь на Марс? | A: Можете уточнить, что именно вас интересует? | Tag: transport_info | Prob: 0.60 | Type: clarification
2025-11-25 17:25:09 | alexey_kozak | Q: Не понял вопрос | A: Извините, я пока не знаю ответа на этот вопрос. Сохраню его для обучения. | Tag: clarification | Prob: 1.00 | Type: unknown
2025-11-25 17:25:19 | alexey_kozak | Q: Где поесть в Куала-Лумпуре? | A: Извините, я пока не знаю ответа на этот вопрос. Сохраню его для обучения. | Tag: restaurants | Prob: 0.99 | Type: unknown
2025-11-25 17:38:30 | test_user | Q: Привет! | A: Привет! Можете уточнить, куда хотите поехать? | Tag: greeting | Prob: 1.00 | Type: high_conf
2025-11-25 17:38:31 | test_user | Q: Где поесть на Пхукете? | A: На Пхукете попробуйте морепродукты на пляже Патонг. | Tag: restaurants | Prob: 1.00 | Type: high_conf
